# non-hangul-codes.txt (Version 09/07/95)
#
# 	This file was created by Ken Lunde of Adobe Systems
# Incorporated (lunde@mv.us.adobe.com), and provides mappings for the
# 5,874 non-hangul characters in KS C 5601-1992 (4,888 hanja and 986
# symbols). Anyone is hereby permitted to use and redistribute this
# file for non-commercial purposes as long as its contents are
# unmodified.
# 	The three fields, all tab-delimited, represent the following
# encodings:
#
# o KS C 5601-1992 (7-bit ISO 2022) Code
# o Wansung Code (the code points for these 5,874 characters are
#   identical to Microsoft's Unified Hangul Code)
# o Johab (described in KS C 5601-1992)
#
# 	The master URL of this document is:
#
#   ftp://ftp.ora.com/pub/examples/nutshell/ujip/map/non-hangul-codes.txt
#
# The following file provides mappings for the 11,172 pre-combined
# hangul characters of KS C 5601-1992:
#
#   ftp://unicode.org/pub/MappingTables/EastAsiaMaps/hangul-codes.txt
#
# KS	Wansung	Johab
# ======================
0x2121	0xA1A1	0xD931
0x2122	0xA1A2	0xD932
0x2123	0xA1A3	0xD933
0x2124	0xA1A4	0xD934
0x2125	0xA1A5	0xD935
0x2126	0xA1A6	0xD936
0x2127	0xA1A7	0xD937
0x2128	0xA1A8	0xD938
0x2129	0xA1A9	0xD939
0x212A	0xA1AA	0xD93A
0x212B	0xA1AB	0xD93B
0x212C	0xA1AC	0xD93C
0x212D	0xA1AD	0xD93D
0x212E	0xA1AE	0xD93E
0x212F	0xA1AF	0xD93F
0x2130	0xA1B0	0xD940
0x2131	0xA1B1	0xD941
0x2132	0xA1B2	0xD942
0x2133	0xA1B3	0xD943
0x2134	0xA1B4	0xD944
0x2135	0xA1B5	0xD945
0x2136	0xA1B6	0xD946
0x2137	0xA1B7	0xD947
0x2138	0xA1B8	0xD948
0x2139	0xA1B9	0xD949
0x213A	0xA1BA	0xD94A
0x213B	0xA1BB	0xD94B
0x213C	0xA1BC	0xD94C
0x213D	0xA1BD	0xD94D
0x213E	0xA1BE	0xD94E
0x213F	0xA1BF	0xD94F
0x2140	0xA1C0	0xD950
0x2141	0xA1C1	0xD951
0x2142	0xA1C2	0xD952
0x2143	0xA1C3	0xD953
0x2144	0xA1C4	0xD954
0x2145	0xA1C5	0xD955
0x2146	0xA1C6	0xD956
0x2147	0xA1C7	0xD957
0x2148	0xA1C8	0xD958
0x2149	0xA1C9	0xD959
0x214A	0xA1CA	0xD95A
0x214B	0xA1CB	0xD95B
0x214C	0xA1CC	0xD95C
0x214D	0xA1CD	0xD95D
0x214E	0xA1CE	0xD95E
0x214F	0xA1CF	0xD95F
0x2150	0xA1D0	0xD960
0x2151	0xA1D1	0xD961
0x2152	0xA1D2	0xD962
0x2153	0xA1D3	0xD963
0x2154	0xA1D4	0xD964
0x2155	0xA1D5	0xD965
0x2156	0xA1D6	0xD966
0x2157	0xA1D7	0xD967
0x2158	0xA1D8	0xD968
0x2159	0xA1D9	0xD969
0x215A	0xA1DA	0xD96A
0x215B	0xA1DB	0xD96B
0x215C	0xA1DC	0xD96C
0x215D	0xA1DD	0xD96D
0x215E	0xA1DE	0xD96E
0x215F	0xA1DF	0xD96F
0x2160	0xA1E0	0xD970
0x2161	0xA1E1	0xD971
0x2162	0xA1E2	0xD972
0x2163	0xA1E3	0xD973
0x2164	0xA1E4	0xD974
0x2165	0xA1E5	0xD975
0x2166	0xA1E6	0xD976
0x2167	0xA1E7	0xD977
0x2168	0xA1E8	0xD978
0x2169	0xA1E9	0xD979
0x216A	0xA1EA	0xD97A
0x216B	0xA1EB	0xD97B
0x216C	0xA1EC	0xD97C
0x216D	0xA1ED	0xD97D
0x216E	0xA1EE	0xD97E
0x216F	0xA1EF	0xD991
0x2170	0xA1F0	0xD992
0x2171	0xA1F1	0xD993
0x2172	0xA1F2	0xD994
0x2173	0xA1F3	0xD995
0x2174	0xA1F4	0xD996
0x2175	0xA1F5	0xD997
0x2176	0xA1F6	0xD998
0x2177	0xA1F7	0xD999
0x2178	0xA1F8	0xD99A
0x2179	0xA1F9	0xD99B
0x217A	0xA1FA	0xD99C
0x217B	0xA1FB	0xD99D
0x217C	0xA1FC	0xD99E
0x217D	0xA1FD	0xD99F
0x217E	0xA1FE	0xD9A0
0x2221	0xA2A1	0xD9A1
0x2222	0xA2A2	0xD9A2
0x2223	0xA2A3	0xD9A3
0x2224	0xA2A4	0xD9A4
0x2225	0xA2A5	0xD9A5
0x2226	0xA2A6	0xD9A6
0x2227	0xA2A7	0xD9A7
0x2228	0xA2A8	0xD9A8
0x2229	0xA2A9	0xD9A9
0x222A	0xA2AA	0xD9AA
0x222B	0xA2AB	0xD9AB
0x222C	0xA2AC	0xD9AC
0x222D	0xA2AD	0xD9AD
0x222E	0xA2AE	0xD9AE
0x222F	0xA2AF	0xD9AF
0x2230	0xA2B0	0xD9B0
0x2231	0xA2B1	0xD9B1
0x2232	0xA2B2	0xD9B2
0x2233	0xA2B3	0xD9B3
0x2234	0xA2B4	0xD9B4
0x2235	0xA2B5	0xD9B5
0x2236	0xA2B6	0xD9B6
0x2237	0xA2B7	0xD9B7
0x2238	0xA2B8	0xD9B8
